id	fea1 fea2 ... fea84
263	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6 0.0 0.0 0.0 211.8 0.0 0.0 0.0 0.0 0.0 0.0 218.00000000000003 0.0 74.9 0.7 0.0 0.0 0.0 6.0 0.0 16.8 5.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 687.9 0.0 83.39999999999999 5.72 0.0 0.0 0.0 1137.9599999999998 1.0 198.03999999999996 0.0 0.0 0.0 0.0 19.7 0.0 198.29999999999998 18.499999999999993 0.0 2.7 0.0 
264	0.0 0.0 0.0 2.4299999999999993 0.0 0.0 0.0 317.48000000000013 0.0 67.9 0.060000000000000005 0.0 0.0 0.0 265.8399999999999 0.0 74.8 2.2399999999999993 0.03 2.8 0.0 0.0 0.0 107.5 6.359999999999997 0.01 0.0 0.0 9.799999999999999 0.0 0.0 3.6700000000000004 0.0 0.0 0.0 795.8399999999986 1.0 75.6 23.23 0.05 2.1 0.0 605.0299999999996 0.0 162.3 28.34000000000001 0.1 28.500000000000004 0.15 7.5 0.0 178.3 16.57999999999999 0.0 4.8 0.0 12.100000000000001 0.0 0.0 0.0 0.0 0.0 0.0 743.4800000000002 4.0 149.70000000000002 11.399999999999999 0.01 15.3 13.2 670.2299999999999 1.0 371.49999999999994 28.020000000000003 0.03 27.700000000000003 0.0 80.5 5.0 255.3 14.829999999999998 0.0 21.9 0.0 
265	6.1 0.0 0.0 0.0 0.0 0.0 0.0 753.3600000000013 4.0 102.2 4.249999999999999 0.0 22.7 0.0 516.1200000000005 4.0 117.89999999999999 17.099999999999998 0.0 30.0 0.0 32.7 0.0 140.89000000000001 20.850000000000005 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 794.4500000000007 4.0 137.7 6.999999999999999 0.0 7.4 0.0 553.8000000000005 0.0 97.99999999999999 20.869999999999997 0.0 8.3 0.0 0.0 0.0 74.9 12.039999999999994 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 781.2500000000003 4.0 5.0 24.919999999999995 0.13 0.0 0.0 603.1999999999998 16.0 44.2 15.770000000000001 0.0 0.0 0.3 0.0 0.0 28.1 10.46 0.0 0.0 0.0 
266	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.9 0.0 0.0 0.0 0.0 0.0 0.0 12.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
267	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
268	2.4 0.0 0.0 0.0 0.0 0.0 0.0 446.2999999999998 0.0 29.7 8.43 0.09999999999999999 22.8 0.9 226.30000000000007 0.0 125.3 9.52 0.06999999999999999 10.0 0.0 33.5 0.0 150.8 19.239999999999995 0.0 17.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 684.01 0.0 57.7 10.93 0.33000000000000007 2.7 0.0 506.69999999999993 0.0 47.4 7.790000000000001 0.24000000000000005 18.200000000000003 12.0 18.0 1.0 96.5 17.359999999999996 0.04 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 946.4699999999999 0.0 50.4 15.129999999999999 0.6300000000000003 5.0 3.75 463.5499999999997 0.0 66.2 28.87 0.3400000000000001 34.9 0.0 85.0 0.0 45.6 30.190000000000015 0.10999999999999999 0.0 0.0 
269	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 132.2 4.0 0.0 14.989999999999998 0.0 0.0 0.0 140.79999999999998 14.0 6.0 18.8 0.0 0.0 1.65 10.8 3.0 0.0 16.83 0.0 0.0 0.0 
270	0.0 0.0 0.0 0.0 0.0 0.0 0.0 34.300000000000004 0.0 5.0 0.03 0.01 0.0 0.0 17.599999999999998 0.0 40.5 0.0 0.0 20.3 0.0 0.0 0.0 0.0 0.0 0.0 7.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 94.19999999999997 0.0 51.9 0.0 0.0 0.0 0.9 189.2 0.0 73.30000000000001 2.5 0.0 0.0 0.0 9.0 0.0 102.3 0.07 0.0 0.0 0.0 
271	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
272	0.0 0.0 0.0 0.0 0.0 0.0 0.0 247.47 1.0 0.0 11.999999999999998 0.0 191.79999999999998 0.0 97.39999999999998 1.0 0.0 9.6 0.0 129.4 0.0 23.6 1.0 56.9 8.620000000000001 0.0 37.900000000000006 0.0 0.0 0.0 0.0 1.3 0.0 0.0 0.0 724.7700000000006 0.0 12.0 9.399999999999999 0.05 0.0 0.0 531.5600000000006 3.0 44.400000000000006 0.0 0.07 0.0 2.1 4.5 1.0 38.2 15.9 0.04 0.0 0.0 0.0 0.0 0.0 0.3 0.0 0.0 0.0 503.6700000000007 0.0 90.7 19.099999999999994 0.02 0.0 6.300000000000001 496.12000000000074 1.0 47.49999999999999 14.309999999999997 0.03 0.9 1.05 24.0 0.0 95.99999999999999 8.729999999999997 0.0 0.0 0.0 
273	0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.7 0.0 0.0 0.11 0.0 0.0 0.0 12.229999999999999 2.0 0.0 0.0 0.0 2.2 0.0 0.0 0.0 2.6 5.64 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 32.23 0.0 0.0 0.36 0.0 0.0 0.0 23.93 0.0 0.0 1.8 0.0 3.8 0.0 0.0 0.0 3.3 1.95 0.0 0.0 0.0 
274	0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.95 0.0 0.0 0.07 0.05 0.0 0.0 18.299999999999997 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
275	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20.1 0.0 0.0 0.04 0.0 0.0 0.0 19.5 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 1.23 0.0 0.0 0.0 
276	28.8 0.0 0.0 0.0 0.0 0.0 0.0 518.7000000000003 6.0 514.0 22.4 0.0 9.5 0.0 314.3 5.0 508.50000000000017 16.629999999999995 0.03 10.9 0.0 18.0 0.0 452.2 26.710000000000004 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 794.0300000000002 0.0 287.90000000000003 12.269999999999998 0.0 0.0 0.0 710.8700000000005 17.0 206.5 18.380000000000006 0.0 28.299999999999997 0.15 85.3 0.0 147.20000000000002 18.590000000000003 0.0 5.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 535.4400000000002 4.0 343.3 4.159999999999999 0.0 8.4 0.0 745.8100000000002 1.0 285.0 29.070000000000004 0.0 9.0 19.5 90.1 0.0 224.20000000000002 5.58 0.0 0.0 0.0 
277	0.0 0.0 0.0 0.0 0.0 0.0 0.0 83.02999999999999 0.0 0.0 2.1 0.0 0.0 0.0 16.700000000000003 0.0 52.9 0.0 0.01 2.8 0.0 0.0 0.0 31.599999999999998 4.37 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 100.92 0.0 14.2 3.2 0.01 8.7 0.0 53.28 0.0 15.8 0.01 0.01 0.0 0.0 0.0 0.0 29.5 2.21 0.01 5.8 0.0 0.0 0.0 0.0 1.3 0.0 0.0 0.0 87.25999999999999 5.0 30.0 3.1 0.0 1.6 0.0 82.97999999999999 0.0 27.5 0.0 0.03 0.0 0.0 4.3 0.0 34.4 2.3 0.02 0.0 0.0 
278	0.0 0.0 0.0 0.0 0.0 0.0 0.0 68.43 0.0 30.3 6.3 0.0 0.0 0.0 57.900000000000006 0.0 16.8 3.5999999999999996 0.0 10.0 0.0 6.0 0.0 3.0 4.380000000000001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18.2 0.0 0.0 0.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
279	0.0 0.0 0.0 0.0 0.0 0.0 0.0 48.3 0.0 0.0 0.0 0.0 0.0 0.0 11.9 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.0 3.4000000000000004 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 64.86000000000001 0.0 0.0 2.2 0.01 0.0 0.0 15.5 0.0 0.0 0.9 0.01 0.0 0.0 0.0 0.0 13.3 6.5 0.0 0.0 0.0 2.9 0.0 0.0 0.0 0.0 0.0 0.0 690.2000000000015 8.0 48.7 18.559999999999995 0.0 0.0 25.150000000000002 582.4100000000007 4.0 221.5 17.529999999999998 0.0 12.0 0.3 105.2 0.0 266.2 71.79000000000006 0.0 1.1 0.0 
280	3.2 0.0 0.0 0.0 0.0 0.0 0.0 938.7100000000004 8.0 43.3 0.0 0.0 0.0 0.0 670.4500000000006 8.0 106.8 0.61 0.0 4.0 0.0 5.5 0.0 226.89999999999995 5.7 0.0 0.0 0.0 4.4 0.0 0.0 0.0 0.0 0.0 0.0 752.1400000000006 0.0 54.8 5.1 0.0 0.0 0.0 743.5900000000008 0.0 117.7 25.399999999999995 0.0 0.0 0.0 0.0 0.0 660.2999999999998 8.709999999999999 0.0 12.7 0.0 3.2 0.0 0.0 0.0 0.0 0.0 0.0 885.5800000000004 0.0 67.69999999999999 0.0 0.0 0.0 0.0 843.2599999999999 0.0 147.5 1.2 0.0 0.0 0.9 21.5 0.0 505.11 29.49999999999999 0.0 0.0 0.0 
281	196.82999999999998 0.0 0.0 10.220000000000002 0.0 0.0 0.0 1040.850000000001 92.0 226.1 45.72 0.1 0.0 0.0 863.5000000000009 68.0 64.4 46.75000000000001 0.12000000000000001 2.0 0.0 24.0 0.0 87.0 26.720000000000027 0.01 0.0 0.0 6.9 0.0 0.0 1.6 0.0 0.0 0.0 1079.600000000001 8.0 74.60000000000001 49.16000000000001 0.13 0.0 0.0 967.5000000000014 12.0 78.2 46.39000000000002 0.09 22.7 0.0 74.0 0.0 69.2 64.83000000000003 0.0 0.0 0.0 0.0 0.0 0.0 10.909999999999998 0.0 0.0 0.0 1226.36 24.0 62.8 35.0 0.01 11.3 0.0 910.7800000000013 0.0 65.4 38.20000000000001 0.0 50.4 0.0 34.8 0.0 47.3 19.099999999999998 0.02 0.0 0.0 
282	0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.1 0.0 0.0 0.06 0.0 0.0 0.0 4.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 573.7500000000011 0.0 0.0 1.3900000000000001 0.01 0.0 0.0 450.1000000000007 0.0 32.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.88 0.0 0.0 0.0 
283	0.0 0.0 0.0 0.01 0.0 0.0 0.0 16.8 0.0 25.2 0.03 0.02 0.0 0.0 8.8 0.0 0.0 2.0999999999999996 0.0 0.0 0.0 0.0 0.0 3.1 5.93 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 4.63 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.5 0.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.1 0.0 0.0 2.4099999999999997 0.0 0.0 0.0 12.600000000000001 0.0 9.3 0.0 0.0 0.0 0.0 0.0 0.0 4.0 4.2 0.0 0.0 0.0 
284	0.0 0.0 0.0 6.27 0.0 0.0 0.0 50.5 0.0 31.7 2.76 0.0 0.0 0.0 178.7 0.0 103.89999999999999 4.959999999999999 0.0 0.0 0.0 0.0 0.0 84.80000000000001 34.16000000000001 0.0 0.0 0.0 0.0 0.0 0.0 11.259999999999998 0.0 0.0 0.0 287.5300000000001 0.0 30.6 6.129999999999999 0.03 0.0 0.0 366.43 0.0 17.6 22.38 0.02 6.3 0.0 44.4 0.0 57.7 39.050000000000026 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 670.06 8.0 36.7 6.68 0.0 14.4 0.0 639.2799999999997 18.0 226.1 44.540000000000035 0.0 15.4 0.0 201.5 4.0 8.8 31.209999999999997 0.0 0.0 0.0 
285	56.430000000000014 0.0 0.0 0.09 0.0 0.0 0.0 732.1400000000003 4.0 10.1 7.78 0.0 14.9 0.0 643.5000000000001 0.0 136.3 5.29 0.0 12.600000000000001 0.0 0.0 0.0 294.3 55.42000000000005 0.0 0.0 0.0 47.15999999999999 0.0 0.0 1.2 0.0 0.0 0.0 919.0000000000013 0.0 42.2 8.4 0.02 9.3 0.0 820.2400000000009 0.0 54.7 2.2 0.03 6.9 0.0 36.3 0.0 147.70000000000002 51.33000000000003 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1004.0400000000017 0.0 9.0 18.169999999999995 0.0 15.9 0.0 890.0799999999999 1.0 55.5 12.299999999999999 0.0 25.2 0.0 24.6 0.0 131.1 35.77 0.0 1.9 0.0 
286	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26.200000000000003 0.0 0.0 0.0 0.02 0.0 0.0 13.6 0.0 0.0 0.0 0.04 0.0 0.0 0.0 0.0 0.0 0.8099999999999999 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 706.6999999999996 5.0 0.0 17.770000000000003 0.3600000000000001 5.9 1.35 355.4000000000001 7.0 11.9 2.54 0.42000000000000015 41.900000000000006 0.0 0.0 2.0 11.7 59.95999999999996 0.03 0.0 0.0 
287	0.0 0.0 0.0 0.0 0.0 0.0 0.0 1087.6700000000005 0.0 138.4 0.15000000000000002 0.0 0.0 0.0 761.6000000000005 0.0 386.6 0.09 0.0 24.2 0.0 3.0 0.0 200.30000000000007 3.6799999999999997 0.0 0.0 0.0 2.8 0.0 0.0 0.7 0.0 0.0 0.0 965.3800000000002 0.0 109.5 0.0 0.0 0.0 0.0 469.4999999999999 0.0 231.9 0.2 0.0 19.799999999999997 0.0 20.0 0.0 153.48000000000002 3.0999999999999996 0.0 30.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 825.7000000000002 1.0 70.29999999999998 7.0 0.0 0.0 0.0 702.5799999999999 0.0 287.0999999999999 9.399999999999999 0.0 1.7 0.0 26.200000000000003 0.0 76.1 5.9 0.0 0.0 0.0 
288	166.50000000000003 0.0 0.0 0.04 0.0 0.0 0.0 651.0100000000008 0.0 55.099999999999994 3.6099999999999977 0.0 10.0 5.4 479.5000000000007 0.0 29.0 2.519999999999997 0.01 47.8 2.1 48.5 0.0 139.9 36.61000000000001 0.0 20.4 0.0 50.4 0.0 0.0 9.43 0.01 0.0 0.0 851.1900000000009 5.0 41.3 8.95 0.3800000000000001 3.0 0.0 639.5000000000005 0.0 102.39999999999999 5.37 0.3000000000000001 3.9 0.0 0.0 0.0 106.6 29.98999999999999 0.23 0.5 0.0 22.43 0.0 0.0 5.319999999999999 0.03 0.0 0.0 787.4300000000013 8.0 16.9 3.01 0.6800000000000004 1.0 0.0 716.7400000000016 6.0 20.3 4.31 0.5600000000000003 1.0 0.3 0.0 1.0 52.599999999999994 49.120000000000026 0.6700000000000004 2.6 0.0 
289	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 31.5 0.0 9.6 0.0 0.09999999999999998 0.0 0.0 19.799999999999997 0.0 0.0 0.3 0.05 0.0 0.15 7.7 0.0 0.0 0.0 0.02 0.0 0.0 
290	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 25.1 0.0 0.0 0.0 0.0 0.0 0.0 10.9 1.0 15.2 0.0 0.0 0.0 0.0 0.0 0.0 14.4 1.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 1.26 0.0 0.0 0.0 37.300000000000004 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
291	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18.52 0.0 0.0 0.0 0.0 0.0 0.0 124.10000000000005 0.0 6.9 1.7000000000000002 0.03 0.0 0.0 95.50000000000001 0.0 2.8 0.0 0.01 6.800000000000001 0.0 0.0 0.0 25.299999999999997 7.8999999999999995 0.0 0.0 0.0 35.0 0.0 0.0 18.91 0.0 0.0 0.0 766.6099999999986 0.0 6.4 41.599999999999994 0.6500000000000004 6.6 11.5 383.64999999999947 11.0 0.0 27.12 0.40000000000000013 4.7 1.9 11.5 0.0 19.6 40.77000000000002 0.08 0.0 0.0 
292	0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.06 0.0 0.0 0.0 0.0 0.0 0.0 20.1 0.0 1.0 0.02 0.0 0.0 0.0 3.6 0.0 11.1 0.8300000000000001 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 21.099999999999994 0.0 0.0 0.0 0.01 8.5 0.0 21.5 0.0 0.0 1.71 0.03 1.2 0.0 6.7 0.0 0.0 5.21 0.03 1.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 41.010000000000005 0.0 7.0 3.21 0.0 1.7 0.0 31.650000000000006 0.0 0.0 0.0 0.060000000000000005 0.0 0.0 0.0 0.0 0.0 2.05 0.0 0.0 0.0 
293	0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.5 0.0 0.0 0.05 0.0 0.0 0.0 43.099999999999994 0.0 10.5 2.3 0.0 0.0 0.0 41.5 0.0 0.0 0.76 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
294	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 30.499999999999996 0.0 0.0 0.0 0.04 0.0 0.0 4.6 0.0 3.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.8000000000000003 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 238.44999999999996 0.0 87.50000000000001 12.9 0.09999999999999999 7.8 0.0 219.49999999999991 0.0 77.4 3.1 0.08 10.0 0.0 0.0 0.0 206.1 10.909999999999998 0.0 1.8 0.0 
295	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 282.40000000000003 1.0 29.799999999999997 25.38000000000001 0.34000000000000014 0.0 0.0 124.30000000000001 4.0 37.0 0.34 0.38000000000000017 0.0 0.0 9.4 1.0 25.5 34.99000000000001 0.10999999999999999 0.0 0.0 
296	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.3999999999999995 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
297	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 654.0599999999997 4.0 43.7 8.41 0.5600000000000003 3.7 0.0 363.0 0.0 36.98 21.079999999999995 0.5200000000000002 8.2 0.0 13.3 0.0 38.6 39.740000000000016 0.060000000000000005 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 695.8699999999997 0.0 56.599999999999994 12.590000000000005 0.6000000000000003 4.6 3.4499999999999997 438.49999999999983 2.0 30.6 77.77000000000002 0.2700000000000001 15.1 13.799999999999999 39.0 0.0 60.0 47.73999999999995 0.08 0.5 0.0 
298	9.100000000000001 0.0 0.0 0.0 0.0 0.0 0.0 708.0900000000006 8.0 154.3 5.5200000000000005 0.0 0.0 0.0 511.2000000000004 48.0 97.39999999999999 1.85 0.0 0.0 15.0 6.0 4.0 105.8 12.77 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 639.0600000000002 16.0 76.9 0.01 0.0 0.0 1.05 675.0000000000003 68.0 75.2 3.22 0.0 0.0 0.0 17.0 0.0 26.6 8.22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 747.2300000000002 4.0 26.5 1.22 0.0 0.0 2.15 759.8800000000002 28.0 119.6 0.0 0.0 0.0 3.75 0.0 0.0 55.7 3.3199999999999994 0.0 0.0 0.6 
299	3.03 0.0 0.0 0.0 0.0 0.0 0.0 864.79 4.0 208.8 19.24 0.0 10.0 15.0 526.5000000000001 0.0 264.79999999999995 15.180000000000001 0.0 13.9 0.0 0.0 0.0 236.9 53.69000000000001 0.0 3.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 858.5699999999994 4.0 219.79999999999998 30.349999999999994 0.0 0.0 0.0 779.1399999999995 0.0 157.50000000000003 29.400000000000002 0.0 0.0 0.0 0.0 1.0 161.20000000000002 23.849999999999998 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1158.0899999999992 7.0 78.7 54.660000000000025 0.09 0.8 8.25 990.1399999999999 8.0 270.5 30.73000000000001 0.01 0.0 12.6 133.9 3.0 150.79999999999998 45.000000000000036 0.0 0.0 0.0 
